classes;punition;date;motif;heure;eleve_id
5A;Exclusion de cours;2024-06-03;à manque de de respect;10:10:00;dfDIl-cfO5wYW1djNXWRh6Lqp5wVNvpYRKv7-bL-Ie0
5A;Mot dans le carnet;2024-06-07;Bavardages incessants et perturbation du cours pendant une évaluation;;dfDIl-cfO5wYW1djNXWRh6Lqp5wVNvpYRKv7-bL-Ie0
5A;Exclusion de cours;2024-06-27;Manque de respect envers le professeur;13:50:00;dfDIl-cfO5wYW1djNXWRh6Lqp5wVNvpYRKv7-bL-Ie0
5A;Mot dans le carnet;2023-10-16;bavardage et manque de concentration;;gwmFQf-IyLAWOTxNb5wz1hdFEMIb2miZRl75bMTdgSU
5A;Mot dans le carnet;2024-02-05;Utilisation de télèphone au foyer;;gwmFQf-IyLAWOTxNb5wz1hdFEMIb2miZRl75bMTdgSU
5A;Retenue;2024-02-20;Il a seché l'heure de permanence et il est  resté au toilettes en cachette;;gwmFQf-IyLAWOTxNb5wz1hdFEMIb2miZRl75bMTdgSU
3B;Retenue;2023-11-24;bavardage et manque de concentration;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-03-22;tricherie lors d'une évaluation;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-03-28;telephone;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-04-19;mange en cours;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-04-22;attitude inacceptable;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Exclusion de cours;2024-04-24;Bavardages et manque de concentration.;09:00:00;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-05-13;bavardage et manque de concentration;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-05-15;Agitation en classe;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-05-16;bavardage incessant;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-05-16;utilisation du portable;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-05-17;Agitation;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-05-21;nan;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-05-22;bavardage;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-05-30;Insolence et bavardages incessantes;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-06-03;Manque de concentration. Bavardages incessants. Défaut de carnet;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
3B;Mot dans le carnet;2024-06-05;Bavardages incessants ;;HRK_WEqKGMIIFzQ3kx_tUUx1RtIo4PY0g-b9a4Uqf4Y
2A;Mot dans le carnet;2024-02-20;Attitude en classe;;gq67y99eXJ52BwTQZ4GYpnYltf7tifuQ-yZvRuqrSHc
2A;Mot dans le carnet;2024-03-18;bavardage et manque de concentration;;gq67y99eXJ52BwTQZ4GYpnYltf7tifuQ-yZvRuqrSHc
2A;Devoir supplémentaire;2024-03-26;travail non fait;;gq67y99eXJ52BwTQZ4GYpnYltf7tifuQ-yZvRuqrSHc
5C;Mot dans le carnet;2023-12-15;jet de papiers sur ses camarades en classe;;Faxe6QNFNzK7I_32yNMyef132__nXnCodwo1cb6lKDo
5C;Mot dans le carnet;2024-03-28;bavardages incessants, manque de respect;;Faxe6QNFNzK7I_32yNMyef132__nXnCodwo1cb6lKDo
5C;Mot dans le carnet;2024-04-18;nan;;Faxe6QNFNzK7I_32yNMyef132__nXnCodwo1cb6lKDo
5C;Mot dans le carnet;2024-05-27;Agitation en classe;;Faxe6QNFNzK7I_32yNMyef132__nXnCodwo1cb6lKDo
3B;Mot dans le carnet;2023-09-21;Bavardages incessants ;;ZSINIKE6X21M0xQ7KQ7ylow7zihMmJx60TO1w4gF02w
3B;Retenue;2024-02-08;travail non fait;;ZSINIKE6X21M0xQ7KQ7ylow7zihMmJx60TO1w4gF02w
2A;Mot dans le carnet;2023-10-09;Prend son téléphone en cours;;58oF_H9LN8xn6ot80d57Fy7OYJFTvbdtfPzWBLvapZA
2A;Mot dans le carnet;2023-11-21;Bavardages incessants ;;58oF_H9LN8xn6ot80d57Fy7OYJFTvbdtfPzWBLvapZA
2A;Mot dans le carnet;2024-02-01;attitude inacceptable, bavardage incessant;;58oF_H9LN8xn6ot80d57Fy7OYJFTvbdtfPzWBLvapZA
2A;Mot dans le carnet;2024-02-20;Attitude en classe;;58oF_H9LN8xn6ot80d57Fy7OYJFTvbdtfPzWBLvapZA
3B;Mot dans le carnet;2023-11-20;Attitude en classe;;g0QBXRijENnlhpRK2R-N5gIWVRDbIicaztDGgIyM9Bk
3B;Mot dans le carnet;2024-01-22;BAVARDAGES;;g0QBXRijENnlhpRK2R-N5gIWVRDbIicaztDGgIyM9Bk
3B;Mot dans le carnet;2024-01-25;Bavardages incessants ;;g0QBXRijENnlhpRK2R-N5gIWVRDbIicaztDGgIyM9Bk
3B;Retenue;2024-03-11;evaluation anulée;;g0QBXRijENnlhpRK2R-N5gIWVRDbIicaztDGgIyM9Bk
3B;Mot dans le carnet;2024-04-17;travail non fait;;g0QBXRijENnlhpRK2R-N5gIWVRDbIicaztDGgIyM9Bk
3B;Mot dans le carnet;2024-05-30;bavardages incessants;;g0QBXRijENnlhpRK2R-N5gIWVRDbIicaztDGgIyM9Bk
3B;Mot dans le carnet;2024-05-31;Prend son téléphone en cours;;g0QBXRijENnlhpRK2R-N5gIWVRDbIicaztDGgIyM9Bk
6A;Mot dans le carnet;2023-09-22;Devoirs non faits;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Mot dans le carnet;2023-10-13;Attitude en classe;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Mot dans le carnet;2023-10-18;Agitation en classe;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Mot dans le carnet;2023-11-30;nan;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Exclusion de cours;2023-12-08;Retard injustifié;12:50:00;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Retenue;2024-01-29;bavardages incessants, cumul d'attitude inacceptable et de retards;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Exclusion de cours;2024-02-05;mange en classe;15:00:00;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Exclusion de cours;2024-02-14;Refus de participer, de travailler;16:00:00;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Retenue;2024-03-15;bavardage incessant;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Exclusion de cours;2024-04-05;Retard injustifié;12:50:00;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Mot dans le carnet;2024-04-05;Attitude en classe;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Retenue;2024-05-16;Il a seché l'heure de permanence et il est  resté au toilettes en cachette;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
6A;Mot dans le carnet;2024-05-31;Attitude en classe;;qEBetcMrPuKHIloYY8JBB-Ob7AHI-htN64SA5shteBw
3A;Mot dans le carnet;2023-10-19;nan;;-l37j9LGszZM4s0hqkhpGizyx6yXGIDC7sc9_gHieC0
3A;Mot dans le carnet;2023-11-27;Bavardages incessants. Un grand manque de concentration. Perturbation du cours.Manque de carnet.;;-l37j9LGszZM4s0hqkhpGizyx6yXGIDC7sc9_gHieC0
3A;Exclusion de cours;2024-06-06;retard;11:10:00;-l37j9LGszZM4s0hqkhpGizyx6yXGIDC7sc9_gHieC0
6B;Retenue;2024-02-15;nan;;0DfSEwZh4Y8ECT3qsHm4OD2S7658Uwj2fqX3OurVAV0
6B;Mot dans le carnet;2024-03-18;bavardage et manque de concentration;;0DfSEwZh4Y8ECT3qsHm4OD2S7658Uwj2fqX3OurVAV0
6B;Retenue;2024-04-23;il a seché l'heure de permanence et il jouait le foot au plateau sportif sans autorisation et sans surveillance;;0DfSEwZh4Y8ECT3qsHm4OD2S7658Uwj2fqX3OurVAV0
6B;Mot dans le carnet;2024-05-27;Bavardages incessants ;;0DfSEwZh4Y8ECT3qsHm4OD2S7658Uwj2fqX3OurVAV0
6B;Mot dans le carnet;2024-05-28;Agitation en classe;;0DfSEwZh4Y8ECT3qsHm4OD2S7658Uwj2fqX3OurVAV0
4C;Mot dans le carnet;2023-09-11;travail non fait;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Mot dans le carnet;2023-12-14;Dort en classe;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Retenue;2024-01-15;Chante en classe et manque de concentration;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Retenue;2024-02-09;bruit et cri en entrant en permanence;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Retenue;2024-02-16;Utilisation du téléphone en classe, pendant le cours.;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Mot dans le carnet;2024-04-24;attitude inacceptable;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Mot dans le carnet;2024-04-25;Devoirs non faits;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Exclusion de cours;2024-05-13;Refus des consignes;10:10:00;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Devoir supplémentaire;2024-05-27;bavardages incessants, Continue à perturber le cours malgré les avertissements répétés du professeurs , Manque de respect envers le professeur;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
4C;Mot dans le carnet;2024-05-31;comportement en classe;;dr6zGAdn0urYbkhbHyWiBGyhnl8HSNuDltdl6XaUGr4
3B;Mot dans le carnet;2023-11-13;travail non fait;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Retenue;2023-11-16;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Mot dans le carnet;2024-01-22;Bavardages incessants ;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Mot dans le carnet;2024-02-05;Attitude en classe;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Mot dans le carnet;2024-03-28;bavardage et manque de concentration;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Mot dans le carnet;2024-04-01;Bavardages incessants ;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Retenue;2024-04-04;Attitude inadmissible en cours;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Retenue;2024-04-19;bavardage incessant;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Retenue;2024-05-30;Insulte;;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
3B;Exclusion de cours;2024-05-30;Bavardages incessants ;15:00:00;OBqWXID_6gXCg-qkqRd-KPCuuuh7La5TdolkHvp2F70
2B;Mot dans le carnet;2023-12-11;Attitude en classe;;FBN6EGeamcjv7wFNtJht0qWIIzmX-hnV2QgBVnGVhPE
2B;Mot dans le carnet;2024-02-19;Insultes;;FBN6EGeamcjv7wFNtJht0qWIIzmX-hnV2QgBVnGVhPE
1B/C;Exclusion de cours;2024-02-15;nan;08:00:00;kQVzmIHaf9fDXWA5-PbHytpoapRKuM6UOzdXNsgZfSo
2B;Mot dans le carnet;2024-02-13;Exclusion;;Fu7w5M2QEnVsYdcOTqF99dPmRo-YGVwJDOekKtW_BAc
2B;Exclusion de cours;2024-04-05;nan;13:50:00;Fu7w5M2QEnVsYdcOTqF99dPmRo-YGVwJDOekKtW_BAc
5C;Mot dans le carnet;2023-11-09;Bvardages incessants, manque de concentratiion, defaut de carnet;;Xff1jqDliDAxc7fsjz4a9RPIJ92j8O2JTXcZml4kmEU
2C;Mot dans le carnet;2023-10-05;nan;;DYJJjbzBTxMK1bv7nsHZeYYop_kkIucL2x-BDbF_ntk
2C;Exclusion de cours;2023-11-09;nan;10:10:00;DYJJjbzBTxMK1bv7nsHZeYYop_kkIucL2x-BDbF_ntk
2C;Retenue;2023-12-07;ils se sont bagarrées dans la cour;;DYJJjbzBTxMK1bv7nsHZeYYop_kkIucL2x-BDbF_ntk
2C;Mot dans le carnet;2024-03-28;Comportement inacceptable en classe;;DYJJjbzBTxMK1bv7nsHZeYYop_kkIucL2x-BDbF_ntk
2A;Devoir supplémentaire;2023-10-10;nan;;cvhwwrJ7YNyWd6vVTa886ZGHPeadd72aotGUxO3P-0I
2A;Exclusion de cours;2023-11-10;nan;12:50:00;cvhwwrJ7YNyWd6vVTa886ZGHPeadd72aotGUxO3P-0I
2A;Mot dans le carnet;2023-11-21;Perturbe le cours de façon répétée malgrè les avertissements du professeur;;cvhwwrJ7YNyWd6vVTa886ZGHPeadd72aotGUxO3P-0I
2A;Retenue;2023-12-07;ils se sont bagarrées dans la cour;;cvhwwrJ7YNyWd6vVTa886ZGHPeadd72aotGUxO3P-0I
2A;Exclusion de cours;2023-12-08;bavardage incessant;12:50:00;cvhwwrJ7YNyWd6vVTa886ZGHPeadd72aotGUxO3P-0I
2A;Retenue;2024-02-06;Utilisation de télèphone;;cvhwwrJ7YNyWd6vVTa886ZGHPeadd72aotGUxO3P-0I
2A;Exclusion de cours;2024-02-14;a insulté son camarade de classe;15:00:00;cvhwwrJ7YNyWd6vVTa886ZGHPeadd72aotGUxO3P-0I
6A;Mot dans le carnet;2023-09-22;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR, Bavardage et pertu un comportement de non respect inadmissible vis à vis du professeur lors du commencement de l'évaluation ., Devoirs non faits;;I0g9FsiZISAZogVFz7k2h4WvmG2_tNNshWd2GdR-iQs
6A;Exclusion de cours;2023-12-07;Retard injustifié;15:00:00;I0g9FsiZISAZogVFz7k2h4WvmG2_tNNshWd2GdR-iQs
6A;Mot dans le carnet;2024-02-02;Bavardage incessant et manque de respect dans la classe;;I0g9FsiZISAZogVFz7k2h4WvmG2_tNNshWd2GdR-iQs
6A;Mot dans le carnet;2024-05-13;bavardage;;I0g9FsiZISAZogVFz7k2h4WvmG2_tNNshWd2GdR-iQs
6A;Mot dans le carnet;2024-05-17;Devoirs non faits;;I0g9FsiZISAZogVFz7k2h4WvmG2_tNNshWd2GdR-iQs
4B;Retenue;2023-09-21;Agitation en classe, ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;;DBhZzjjKoAHCYqkYhYxx72oXkJ3IHKUhagBJnREviiM
4B;Exclusion de cours;2023-10-06;Agitation en classe, ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR, Perturbe le cours de façon répétée malgrè les avertissements du professeur;15:00:00;DBhZzjjKoAHCYqkYhYxx72oXkJ3IHKUhagBJnREviiM
4B;Mot dans le carnet;2023-11-09;Attitude inadmissible en cours;;DBhZzjjKoAHCYqkYhYxx72oXkJ3IHKUhagBJnREviiM
4B;Mot dans le carnet;2023-12-05;Attitude inadmissible en cours;;DBhZzjjKoAHCYqkYhYxx72oXkJ3IHKUhagBJnREviiM
4B;Exclusion de cours;2024-06-21;Quitte le cours sans permission et en laissant le matériel utilisé sans rien ranger;13:50:00;DBhZzjjKoAHCYqkYhYxx72oXkJ3IHKUhagBJnREviiM
5A;Mot dans le carnet;2023-09-15;BAVARDAGES;;EW9Wk4B8_I8AeK-b02GJMcnGyRWMoXOxJpZh_EOOmkI
5A;Mot dans le carnet;2023-09-25;Changement de place sans autorisation;;EW9Wk4B8_I8AeK-b02GJMcnGyRWMoXOxJpZh_EOOmkI
5A;Mot dans le carnet;2023-10-05;Attitude en classe;;EW9Wk4B8_I8AeK-b02GJMcnGyRWMoXOxJpZh_EOOmkI
5A;Mot dans le carnet;2023-10-09;devoir non rendu;;EW9Wk4B8_I8AeK-b02GJMcnGyRWMoXOxJpZh_EOOmkI
5A;Retenue;2023-10-16;Bavardages incessants ;;EW9Wk4B8_I8AeK-b02GJMcnGyRWMoXOxJpZh_EOOmkI
5A;Mot dans le carnet;2024-02-05;Devoirs non faits;;EW9Wk4B8_I8AeK-b02GJMcnGyRWMoXOxJpZh_EOOmkI
3C;Mot dans le carnet;2023-10-04;Agitation, Attitude inadmissible en cours;;-76Ox6E3QPlYEeZC1FlqXjfy-inRpcssGvmJOrjq3pk
3C;Mot dans le carnet;2023-10-09;Agitation en classe, bavardage incessant;;-76Ox6E3QPlYEeZC1FlqXjfy-inRpcssGvmJOrjq3pk
3C;Retenue;2023-11-22;Utilisation de télèphone;;-76Ox6E3QPlYEeZC1FlqXjfy-inRpcssGvmJOrjq3pk
2A;Retenue;2023-10-04;Utilisation de télèphone;;dS99cEPZdJ7rs3J805lUZq8nYZXS6adUa-UDZnVw3XM
4B;Mot dans le carnet;2023-09-18;Attitude en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2023-09-26;bavardages incessants;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Retenue;2023-11-09;Devoirs non faits;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2023-11-20;bavardage incessant;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2023-11-24;cumul d'attitude inacceptable et de retards;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2023-11-27;Agitation en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2023-11-27;Excès de bavardage durant la séance ce qui a perturbé le déroulement  de l'activité  et du cours, à la fin ils étaient incapable d'interpréter l'œuvre ou réexpliquer l'élément étudié.  ;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2023-12-01;Attitude en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Retenue;2023-12-04;Agitation en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-01-12;bavardage incessant;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-01-18;Attitude en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Retenue;2024-01-18;Attitude en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-01-26;nan;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-01-26;attitude inacceptable;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-01-29;cumul d'attitude inadmissible,manque de respect,insolence.;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-02-09;Perturbe le cours par d'incessants bavardages malgré les appels à l'orde répétés du professeur.;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Exclusion de cours;2024-02-09;nan;08:00:00;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-02-16;Bavardage incessant et manque de respect dans la classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-03-25;Bruit et cri en entrant en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-04-19;Attitude en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-05-27;Bavardages incessants comme d'habitude. Un grand manque de concentration. manque de carnet. Perturbation du cours, Comportement inacceptable en classe, Continue à perturber le cours malgré les avertissements répétés du professeurs , insolence;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-05-30;Agitation en classe, Changement de place sans autorisation, Perturbe le cours de façon répétée malgrè les avertissements du professeur;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-05-31;oublie constant de matériel;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-06-05;Agitation en classe, Bavardages et manque de concentration., geste deplacé;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-06-06;Agitation en classe;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
4B;Mot dans le carnet;2024-06-14;nan;;SDrata6mhqk9Qgak470L6AWgU6MJ4KDLZVk_6NEJwYg
1A;Retenue;2024-03-18;Bavardages et manque de concentration.;;ZzZvoyMYwrVbciTPVkzMLv0vxPOEcR5cgsfowxSs3WQ
1A;Retenue;2024-04-17;bavardages incessants;;ZzZvoyMYwrVbciTPVkzMLv0vxPOEcR5cgsfowxSs3WQ
3A;Mot dans le carnet;2023-10-19;nan;;utPLMde5vIIS-xggFM1YKXPNkpEZZMfBEXvlbgpv0j0
3C;Mot dans le carnet;2023-09-14;Agitation en classe;;jcP3ELktQ3nl90WgfmK-XgFHjsGUsXfVYA4S2NHJ1Xc
3C;Mot dans le carnet;2023-12-12;Attitude en classe;;jcP3ELktQ3nl90WgfmK-XgFHjsGUsXfVYA4S2NHJ1Xc
3C;Retenue;2024-04-09;dégradation du matériel;;jcP3ELktQ3nl90WgfmK-XgFHjsGUsXfVYA4S2NHJ1Xc
3C;Mot dans le carnet;2024-05-20;Agitation en classe, bavardage incessant;;jcP3ELktQ3nl90WgfmK-XgFHjsGUsXfVYA4S2NHJ1Xc
1B/C;Retenue;2023-10-04;nan;;taNEk7CDt32WpfZuusIPgAO04GXEJ8IznYh28B8mAVY
1B/C;Exclusion de cours;2024-02-15;nan;08:00:00;taNEk7CDt32WpfZuusIPgAO04GXEJ8IznYh28B8mAVY
4A;Mot dans le carnet;2023-09-21;Bavardages incessants ;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
4A;Mot dans le carnet;2023-12-04;Bavardages incessants ;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
4A;Mot dans le carnet;2023-12-11;dégradation du matériel;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
4A;Mot dans le carnet;2024-01-22;BAVARDAGES;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
4A;Mot dans le carnet;2024-02-16;bavardage;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
4A;Mot dans le carnet;2024-03-12;BAVARDAGES;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
4A;Mot dans le carnet;2024-04-19;Bavardage incessant et manque de respect dans la classe;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
4A;Mot dans le carnet;2024-05-20;Agitation en classe;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
4A;Mot dans le carnet;2024-05-28;Bavardages incessants ;;DRvJbEBKMlb7iveF4U0UOwmW8mX6XbciE5MBwR-gKW4
2B;Retenue;2024-01-24;Utilisation de télèphone;;u5aqcItw1tIc_vFh2J_j3y3ogg5X_enSky9OALFL5Dg
2A;Devoir supplémentaire;2023-10-10;nan;;77cHeE_kylTwAOgWVO7M9LXssQdOVaaiFfSvYf58Q7U
2A;Mot dans le carnet;2024-02-20;Attitude en classe;;77cHeE_kylTwAOgWVO7M9LXssQdOVaaiFfSvYf58Q7U
2A;Devoir supplémentaire;2024-03-26;travail non fait;;77cHeE_kylTwAOgWVO7M9LXssQdOVaaiFfSvYf58Q7U
5C;Mot dans le carnet;2024-03-14;comportement inadmissible en permamnence;;SKWADw3ZDTt4N95AgyJS7u-dgb1gC6xks0a0IXLtAWM
2A;Mot dans le carnet;2023-10-19;Attitude en classe;;ssFjGMOs5BDsWgqcv__KlRt68Bk0e0IovRqCzCQI_bM
2A;Exclusion de cours;2024-02-14;a insulté son camarade de classe;15:00:00;ssFjGMOs5BDsWgqcv__KlRt68Bk0e0IovRqCzCQI_bM
2A;Retenue;2024-02-21;Utilisation de téléphone portable;;ssFjGMOs5BDsWgqcv__KlRt68Bk0e0IovRqCzCQI_bM
2A;Devoir supplémentaire;2024-03-26;travail non fait;;ssFjGMOs5BDsWgqcv__KlRt68Bk0e0IovRqCzCQI_bM
2A;Retenue;2024-04-17;Bavardages incessants ;;ssFjGMOs5BDsWgqcv__KlRt68Bk0e0IovRqCzCQI_bM
2A;Retenue;2024-05-16;non respect du réglement intérieur;;ssFjGMOs5BDsWgqcv__KlRt68Bk0e0IovRqCzCQI_bM
2A;Mot dans le carnet;2024-05-28;tricherie lors d'une évaluation;;ssFjGMOs5BDsWgqcv__KlRt68Bk0e0IovRqCzCQI_bM
6A;Mot dans le carnet;2023-10-13;bavardage et manque de concentration;;3eq1lZCw1T_-HiV3qx5HiDzFS_jvnETvMjaDF7QpMR8
6A;Mot dans le carnet;2023-11-07;bavardage incessant, devoir non rendu;;3eq1lZCw1T_-HiV3qx5HiDzFS_jvnETvMjaDF7QpMR8
6A;Mot dans le carnet;2023-11-10;Bavardages et manque de concentration.;;3eq1lZCw1T_-HiV3qx5HiDzFS_jvnETvMjaDF7QpMR8
6A;Mot dans le carnet;2024-04-01;Devoirs non faits;;3eq1lZCw1T_-HiV3qx5HiDzFS_jvnETvMjaDF7QpMR8
2B;Retenue;2023-11-30;Bavardages incessants. Un grand manque de concentra;;x-RhaHXRY6LN0RDu09Zumac75P85fYGy7jMF9s4UwoA
2B;Mot dans le carnet;2023-12-14;Attitude inadmissible en cours;;x-RhaHXRY6LN0RDu09Zumac75P85fYGy7jMF9s4UwoA
2B;Retenue;2023-12-15;Bavardage incessant et manque de respect dans la classe;;x-RhaHXRY6LN0RDu09Zumac75P85fYGy7jMF9s4UwoA
2B;Mot dans le carnet;2024-03-21;bavardage et manque de concentration;;x-RhaHXRY6LN0RDu09Zumac75P85fYGy7jMF9s4UwoA
